gen	p1	p2	group	parent	hybrid	genotype	block	ndr6	sgr6	ndm	ph	plr6	pwr6	as	hsw	gy	
3	1	2	hybrid	0	1	1	1	112	19	137	74	40.08	9.71	29.76	12.61	446	4460
3	1	2	hybrid	0	1	1	2	114	10	129	95	40.08	9.98	28.83	12.12	496	4960
3	1	2	hybrid	0	1	1	3	116	13	138	50	39.66	9.39	28.13	12.32	210	2100
3	1	2	hybrid	0	1	1	4	116	11	143	77	36.97	9.24	26.08	12.45	360.94	3609.4
3	1	3	hybrid	0	1	2	1	113	27	149	95	46.67	11.1	43.22	20.11	252	2520
3	1	3	hybrid	0	1	2	2	116	23	154	95	46.46	11.86	51.91	22.04	190	1900
3	1	3	hybrid	0	1	2	3	116	13	142	84	45.84	11.06	40.34	20.88	236	2360
3	1	3	hybrid	0	1	2	4	116	18	149	78	46.72	10.95	43.26	24.09	213.27	2132.7
3	1	4	hybrid	0	1	3	1	99	14	125	63.75	51.68	11.74	47.03	20.45	219.72	2197.2
3	1	4	hybrid	0	1	3	2	114	14	142	82	46.09	11.15	47.46	21.38	452	4520
3	1	4	hybrid	0	1	3	3	116	23	149	82	47.4	11.41	48.77	25.74	194	1940
3	1	4	hybrid	0	1	3	4	116	23	149	80	47.45	11.78	48.35	26.6	218	2180
3	1	5	hybrid	0	1	4	1	111	22	144	71	51.05	12.64	45.38	22.33	338	3380
3	1	5	hybrid	0	1	4	2	116	16	141	65	40	10.2	32.9	15.04	296	2960
3	1	5	hybrid	0	1	4	3	97	20	126	101.5	39.38	11.54	41.86	22.5	175.53	1755.3
3	1	5	hybrid	0	1	4	4	116	18	149	82	53.34	12.23	46.04	24.24	386	3860
3	1	6	hybrid	0	1	5	1	98	12	122	100	43.11	11.83	49.04	24.05	416.14	4161.4
3	1	6	hybrid	0	1	5	2	110	11	121	92.5	36.32	10.21	33.92	13.54	246.54	2465.4
3	1	6	hybrid	0	1	5	3	97	20	125	116.8	40.64	12.27	44.69	23.27	318	3180
3	1	6	hybrid	0	1	5	4	111	10	128	102	40.31	12.15	42.95	22.57	238	2380
3	2	3	hybrid	0	1	6	1	108	11	125	95	45.39	12.17	51.34	23.58	386	3860
3	2	3	hybrid	0	1	6	2	105	11	121	100	48.11	12.01	46.63	21.54	498	4980
3	2	3	hybrid	0	1	6	3	108	9	125	100	39.2	12	44.08	22.63	224	2240
3	2	3	hybrid	0	1	6	4	112	11	149	100	42.79	10.85	41.35	23.59	158	1580
3	2	4	hybrid	0	1	7	1	100	12	122	102.5	48.83	11.86	51.39	25.48	370	3700
3	2	4	hybrid	0	1	7	2	109	10	123	83.33	40.31	10.66	46.89	19.96	446	4460
3	2	4	hybrid	0	1	7	3	105	11	126	116	37	11.8	47.17	22.43	374	3740
3	2	4	hybrid	0	1	7	4	105	11	119	84	32.95	9.51	30.38	13.68	270	2700
3	2	5	hybrid	0	1	8	1	107	19	130	121.25	44.01	11.77	52.55	25.94	154	1540
3	2	5	hybrid	0	1	8	2	114	10	128	118.33	44.42	11.73	44.08	22.39	274	2740
3	2	5	hybrid	0	1	8	3	105	10	125	96	45.39	12.2	40.92	20.87	210	2100
3	2	5	hybrid	0	1	8	4	110	10	128	102	40.8	12.22	44.09	24.2	176	1760
3	2	6	hybrid	0	1	9	1	103	11	125	102.5	38.49	12.02	27.89	20.91	190	1900
3	2	6	hybrid	0	1	9	2	105	12	124	109	42.81	12.02	46.08	22.28	230	2300
3	2	6	hybrid	0	1	9	3	105	11	125	109.6	42	12.11	41.58	20.94	232	2320
3	2	6	hybrid	0	1	9	4	106	12	126	104	43.45	11.85	43.18	23.92	288.24	2882.4
3	3	4	hybrid	0	1	10	1	109	28	149	97	47.63	11.06	45.3	21.78	434	4340
3	3	4	hybrid	0	1	10	2	110	12	127	74	44.4	10.74	42.94	20.66	179.14	1791.4
3	3	4	hybrid	0	1	10	3	115	13	141	76	53.79	12.12	47.33	24.63	264	2640
3	3	4	hybrid	0	1	10	4	119	18	149	72	48.54	11.05	42.63	23.81	166	1660
3	3	5	hybrid	0	1	11	1	109	19	143	84	44.74	11.47	48.71	22.79	352.09	3520.9
3	3	5	hybrid	0	1	11	2	114	23	149	73	47.85	11.93	40.2	20.2	492	4920
3	3	5	hybrid	0	1	11	3	116	25	149	69	47.94	11.2	46.24	22.3	498	4980
3	3	5	hybrid	0	1	11	4	116	18	141	62	49.96	11.16	43.08	23.68	446	4460
3	3	6	hybrid	0	1	12	1	98	11	122	66.67	41.31	10.79	42.72	16.47	190	1900
3	3	6	hybrid	0	1	12	2	103	10	125	53.33	43.07	11.86	46.89	18.35	338	3380
3	3	6	hybrid	0	1	12	3	105	15	131	65	42.79	10.68	33.92	12.12	381.62	3816.2
3	3	6	hybrid	0	1	12	4	107	10	125	112	42.15	12.24	44.39	24.93	378	3780
3	4	5	hybrid	0	1	13	1	97	14	121	102	46.55	12.04	45.61	21.98	412	4120
3	4	5	hybrid	0	1	13	2	105	12	124	121	42.32	11.97	48.26	22.23	212	2120
3	4	5	hybrid	0	1	13	3	107	22	137	113	44.24	10.8	42.63	20.17	274	2740
3	4	5	hybrid	0	1	13	4	116	18	143	80	40.8	10.9	44.33	24.54	207.65	2076.5
3	4	6	hybrid	0	1	14	1	101	12	122	40	47.98	12.15	44.67	20.11	190	1900
3	4	6	hybrid	0	1	14	2	114	10	141	94	41.37	11.44	42.08	19.81	166	1660
3	4	6	hybrid	0	1	14	3	113	14	135	62	30.15	8.18	22.22	9.12	206.52	2065.2
3	4	6	hybrid	0	1	14	4	107	10	125	104	39.5	10.23	38.81	22.84	182	1820
3	5	6	hybrid	0	1	15	1	108	15	133	86	39.54	10.22	43.02	19.94	216	2160
3	5	6	hybrid	0	1	15	2	112	10	125	86	47.98	11.81	50.43	22.04	294	2940
3	5	6	hybrid	0	1	15	3	116	11	138	63	44.11	11.01	48.19	23.76	130.21	1302.1
3	5	6	hybrid	0	1	15	4	105	14	128	83.75	48.45	12.16	45.64	26.61	238.58	2385.8
3	1	1	parent	1	0	16	1	109	20	143	72	41.57	10.97	46.77	19.5	338	3380
3	1	1	parent	1	0	16	2	116	17	149	72	42.84	10.78	42.4	19.01	446	4460
3	1	1	parent	1	0	16	3	115	16	141	77	42.85	10.56	39.41	21.72	434	4340
3	1	1	parent	1	0	16	4	116	14	144	74	40.62	10.62	37.38	21.38	310	3100
3	2	2	parent	1	0	17	1	109	23	143	82	36.93	9.74	29.16	11.95	278.79	2787.9
3	2	2	parent	1	0	17	2	115	9	122	61	34.05	8.94	29.37	11.63	294	2940
3	2	2	parent	1	0	17	3	114	12	135	64	33.94	8.6	27.73	11.42	280	2800
3	2	2	parent	1	0	17	4	116	15	143	71	38.48	8.92	26.1	13.29	294	2940
3	3	3	parent	1	0	18	1	111	19	143	93	35.67	9.6	33.66	15.87	338	3380
3	3	3	parent	1	0	18	2	115	21	141	89	39.6	10.42	33.7	15.75	492	4920
3	3	3	parent	1	0	18	3	116	13	141	91	42.8	10.41	32.4	14.68	230	2300
3	3	3	parent	1	0	18	4	116	16	141	95	40.4	9.81	30.06	16.26	276	2760
3	4	4	parent	1	0	19	1	109	23	143	85	36.59	9.45	30.24	12.73	338	3380
3	4	4	parent	1	0	19	2	112	17	141	79	35.91	9.19	30.75	13.37	378	3780
3	4	4	parent	1	0	19	3	113	14	137	81	35.67	9.12	30.83	12.26	528	5280
3	4	4	parent	1	0	19	4	116	15	143	68	31.96	8.33	24.8	13.63	270	2700
3	5	5	parent	1	0	20	1	110	21	143	75	38.68	9.67	33.15	14.35	330.66	3306.6
3	5	5	parent	1	0	20	2	111	22	141	87	41.15	10.02	30.75	13.8	446	4460
3	5	5	parent	1	0	20	3	114	13	135	67	37.35	9.15	28.01	11.4	310	3100
3	5	5	parent	1	0	20	4	116	15	142	69	35.27	9.15	28.54	14.9	328	3280
3	6	6	parent	1	0	21	1	110	24	144	80	35.23	9.33	27.16	9.95	235.14	2351.4
3	6	6	parent	1	0	21	2	115	16	141	74	39.45	9.39	26.54	9.36	412	4120
3	6	6	parent	1	0	21	3	116	14	143	89	38.97	8.97	21.59	9.24	228	2280
3	6	6	parent	1	0	21	4	120	17	143	71	34.56	8.51	20.81	9.3	186	1860
4	1	2	hybrid	0	1	1	1	101	24	131	98.75	32.87	8.97	34.33	13.88	367.03	3670.3
4	1	2	hybrid	0	1	1	2	101	25	133	85	34.57	8.91	50.34	27.31	167.1	1671
4	1	2	hybrid	0	1	1	3	106	10	130	88.75	34.56	8.3	28.47	11.05	179.14	1791.4
4	1	2	hybrid	0	1	1	4	95	21	130	98.75	33.23	8.21	28.6	11.89	248.3	2483
4	1	3	hybrid	0	1	2	1	107	20	133	115	44.54	10.81	45.83	20.63	252	2520
4	1	3	hybrid	0	1	2	2	101	15	131	77.5	43.58	10.84	43.91	22	254.51	2545.1
4	1	3	hybrid	0	1	2	3	107	10	130	112.5	40.78	10.51	44.21	21.68	245.51	2455.1
4	1	3	hybrid	0	1	2	4	112	15	135	108.75	43.38	10.5	40.69	19.74	200.04	2000.4
4	1	4	hybrid	0	1	3	1	101	11	133	111.25	46.96	11.64	50.24	24.39	367.24	3672.4
4	1	4	hybrid	0	1	3	2	108	20	134	111.25	43.37	10.77	35.78	18.11	229.19	2291.9
4	1	4	hybrid	0	1	3	3	101	18	131	86.25	39.74	10.69	47.68	23.13	212.22	2122.2
4	1	4	hybrid	0	1	3	4	109	17	132	105	45.63	10.83	43.88	21.71	315.27	3152.7
4	1	5	hybrid	0	1	4	1	101	26	135	100	44.24	10.94	44.47	22.49	405.82	4058.2
4	1	5	hybrid	0	1	4	2	101	27	134	108.75	44.02	11.1	46.77	24.32	352.09	3520.9
4	1	5	hybrid	0	1	4	3	95	11	97	88.75	43.06	10.68	40.17	21.83	192.29	1922.9
4	1	5	hybrid	0	1	4	4	101	9	132	88.75	45.43	11.03	44.53	22.38	265.02	2650.2
4	1	6	hybrid	0	1	5	1	93	14	116	112.5	40.32	11.75	46.6	26.67	381.62	3816.2
4	1	6	hybrid	0	1	5	2	95	11	116	90	38.59	11.27	41.04	20.37	207.66	2076.6
4	1	6	hybrid	0	1	5	3	93	12	116	106.25	38.19	10.68	48.88	20.93	247.32	2473.2
4	1	6	hybrid	0	1	5	4	95	11	116	101.25	41.7	10.98	37.95	19.84	207.32	2073.2
4	2	3	hybrid	0	1	6	1	94	12	133	130	39.34	12.18	47.23	20.73	219.72	2197.2
4	2	3	hybrid	0	1	6	2	95	12	119	91.25	41.23	11.74	39.47	21.53	251.99	2519.9
4	2	3	hybrid	0	1	6	3	95	11	116	102.5	38.97	11.34	48.1	22.6	288.24	2882.4
4	2	3	hybrid	0	1	6	4	95	13	116	97.5	40.93	11.5	47.37	23.1	207.65	2076.5
4	2	4	hybrid	0	1	7	1	95	12	118	115	44.03	11.58	50.13	24.72	416.14	4161.4
4	2	4	hybrid	0	1	7	2	93	13	116	120	42.6	11.6	45.36	22.36	278.79	2787.9
4	2	4	hybrid	0	1	7	3	95	15	116	92.5	36.97	10.2	46.9	20.87	169.38	1693.8
4	2	4	hybrid	0	1	7	4	95	11	116	92.5	40.8	10.97	42.8	20.51	360.94	3609.4
4	2	5	hybrid	0	1	8	1	101	8	130	117.5	41.72	12.46	52.84	22.96	230	2300
4	2	5	hybrid	0	1	8	2	95	11	116	92.5	40.31	11.89	43	20.25	232.99	2329.9
4	2	5	hybrid	0	1	8	3	95	11	116	103.75	41.21	11.51	45.65	21.2	213.27	2132.7
4	2	5	hybrid	0	1	8	4	95	10	116	96.25	42.57	11.35	42	20.33	232.99	2329.9
4	2	6	hybrid	0	1	9	1	95	11	118	105	38.75	11.59	51.91	22.81	175.53	1755.3
4	2	6	hybrid	0	1	9	2	95	12	116	78.75	41.57	11.85	47.43	23.46	233.8	2338
4	2	6	hybrid	0	1	9	3	95	11	116	100	39.8	11.26	41.11	21.37	206.52	2065.2
4	2	6	hybrid	0	1	9	4	95	11	116	103.75	39.84	10.97	40.47	22.87	191.02	1910.2
4	3	4	hybrid	0	1	10	1	101	26	132	110	44.57	11.19	38.76	23.1	383.56	3835.6
4	3	4	hybrid	0	1	10	2	108	21	135	91.25	38.96	9.86	42.72	22.18	283.67	2836.7
4	3	4	hybrid	0	1	10	3	107	15	130	87.5	42.17	10.14	40.78	19.82	261.17	2611.7
4	3	4	hybrid	0	1	10	4	108	18	137	97.5	39.2	10.35	42.29	20.57	238.58	2385.8
4	3	5	hybrid	0	1	11	1	101	24	130	95	48.44	11.5	48.07	23.8	330.66	3306.6
4	3	5	hybrid	0	1	11	2	101	27	134	95	44.15	10.91	39.28	20.25	327.04	3270.4
4	3	5	hybrid	0	1	11	3	108	18	133	95	40.62	10.58	45.1	21.11	246.54	2465.4
